"ParID_Ryan","Wrap_Ryan","Clipped_Ryan","Ringing_Ryan","Ghosting_Ryan","Blurriness_Ryan","ParID_Jane","Wrap_Jane","Clipped_Jane","Ringing_Jane","Ghosting_Jane","Blurriness_Jane"
"dmk_105",0,0,1,1,2,"dmk_105",0,0,1,1,2
"dmk_106",0,0,2,1,2,"dmk_106",0,0,1,1,2
"dmk_107",0,0,2,1,1,"dmk_107",0,0,3,1,1
"dmk_108",0,0,1,1,1,"dmk_108",0,0,1,1,2
"dmk_109",0,0,5,2,4,"dmk_109",0,0,5,3,4
"dmk_110",0,0,2,1,2,"dmk_110",0,0,2,1,2
"dmk_111",0,0,2,1,2,"dmk_111",0,0,1,1,2
"dmk_112",0,0,3,1,3,"dmk_112",0,0,3,1,2
"dmk_113",0,0,3,1,2,"dmk_113",0,0,3,1,1
"dmk_114",0,0,3,2,3,"dmk_114",0,0,3,3,3
"dmk_115",0,0,1,1,2,"dmk_115",0,0,1,1,3
"dmk_116",0,0,1,2,2,"dmk_116",0,0,1,2,2
"dmk_118",0,0,3,1,2,"dmk_118",0,0,4,1,2
"dmk_119",NA,NA,NA,NA,NA,"dmk_119",NA,NA,NA,NA,NA
"dmk_120",0,0,3,1,2,"dmk_120",0,0,3,2,2
"dmk_122",0,0,1,0,1,"dmk_122",0,0,1,1,1
"dmk_123",0,0,0,1,1,"dmk_123",0,0,1,1,1
"dmk_125",0,0,2,1,2,"dmk_125",0,0,2,1,2
"dmk_126",0,0,3,1,2,"dmk_126",0,0,3,1,2
"dmk_127",0,0,1,1,2,"dmk_127",0,0,1,1,2
"dmk_129",NA,NA,NA,NA,NA,"dmk_129",NA,NA,NA,NA,NA
"dmk_130",0,0,1,1,2,"dmk_130",0,0,1,1,2
"dmk_131",0,0,5,2,5,"dmk_131",0,0,5,2,4
"dmk_133",0,0,2,1,3,"dmk_133",0,0,3,1,2
"dmk_134",0,0,2,1,2,"dmk_134",0,0,2,1,2
"dmk_135",0,0,1,1,1,"dmk_135",0,0,1,1,2
